Employment,EdLevel,YearsCodePro,JobSat,RemoteWork,Country,LanguageHaveWorkedWith,LanguageWantToWorkWith
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",13,7.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Python;R;SQL,R
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,10.0,In-person,Germany,Scala,Scala
"Employed, full-time",Some college/university study without earning a degree,32,6.0,Remote,United Kingdom of Great Britain and Northern Ireland,C#,C#
"Employed, full-time","Associate degree (A.A., A.S., etc.)",8,7.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,8.0,"Hybrid (some remote, some in-person)",Bulgaria,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;R;SQL;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,1.0,In-person,South Korea,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript,C#;Go;Kotlin;Python;Ruby;Rust
"Student, part-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Less than 1 year,2.0,Remote,Kenya,C;HTML/CSS;JavaScript;PowerShell;Python;Solidity;SQL;TypeScript,C;HTML/CSS;JavaScript;PowerShell;Python;Solidity;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,9.0,"Hybrid (some remote, some in-person)",Ukraine,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;Elixir;F#;Go;HTML/CSS;JavaScript;Python;Rust;Scala;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,6.0,"Hybrid (some remote, some in-person)",India,HTML/CSS;MATLAB;Python;SQL,Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,5.0,Remote,Kazakhstan,Go;Scala;TypeScript,Clojure;Scala
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",21,7.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,C++;Erlang;Haskell;HTML/CSS;JavaScript;Lisp;Python;Rust;TypeScript,Haskell;HTML/CSS;Lisp;Rust
"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,7.0,In-person,Austria,C#;C++;Kotlin;MATLAB;MicroPython;Python,C#;C++;MicroPython;Python
"Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,8.0,"Hybrid (some remote, some in-person)",Switzerland,C;C++;Dart;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;Scala;SQL,Python;SQL
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8,7.0,"Hybrid (some remote, some in-person)",Hungary,Python,Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,6.0,Remote,Belgium,C#;JavaScript;Python;SQL,C#;JavaScript;Python;SQL
"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,6.0,Remote,Czech Republic,Assembly;Java;JavaScript;PHP;Python;SQL;TypeScript,Assembly;C++;Python;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,5.0,"Hybrid (some remote, some in-person)",Germany,C;C++;GDScript;Groovy;Python,C++;Python;Rust
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",7,9.0,"Hybrid (some remote, some in-person)",France,Bash/Shell (all shells);C++;GDScript;Java;JavaScript;Kotlin;Lua;MicroPython;Python;Scala,Bash/Shell (all shells);Go;Kotlin;MicroPython;Python;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,6.0,Remote,Germany,HTML/CSS;Java;Kotlin,Kotlin
"Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",16,9.0,"Hybrid (some remote, some in-person)",Czech Republic,Groovy;HTML/CSS;Java;JavaScript,HTML/CSS;Java;JavaScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,8.0,Remote,Poland,Python;Rust,Rust
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,7.0,Remote,Romania,C#;SQL,C#;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,8.0,"Hybrid (some remote, some in-person)",Syrian Arab Republic,Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;PHP;Python;TypeScript,Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;Python;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,6.0,"Hybrid (some remote, some in-person)",Greece,Java;Python;SQL,Go;Java;Rust;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,0.0,"Hybrid (some remote, some in-person)",Spain,JavaScript;PHP;SQL,JavaScript;Ruby;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,7.0,In-person,Viet Nam,Assembly;Bash/Shell (all shells);C;C#;C++;Java;JavaScript;PowerShell;Python;R;SQL;TypeScript,Delphi;F#;Fortran;Go;Haskell;Julia;Kotlin;Lisp;MATLAB;Prolog;Python;Rust;Scala;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,9.0,Remote,India,JavaScript,JavaScript;Rust;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,3.0,In-person,France,Bash/Shell (all shells);Python,C;Java;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7.0,In-person,Italy,HTML/CSS;Java;JavaScript;SQL;TypeScript,TypeScript
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10,10.0,Remote,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C;C#;C++;PowerShell,Bash/Shell (all shells);C#;PowerShell
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,7.0,Remote,United Kingdom of Great Britain and Northern Ireland,Python,Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,4.0,Remote,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);JavaScript;MicroPython;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);JavaScript;PHP;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,7.0,Remote,United Kingdom of Great Britain and Northern Ireland,Python;SQL;VBA,SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,7.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Python;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,10.0,In-person,India,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Scala;SQL;Swift;TypeScript
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,7.0,Remote,Pakistan,C++;Dart;Java;JavaScript,C#;C++;Dart;JavaScript;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,7.0,"Hybrid (some remote, some in-person)",Denmark,Bash/Shell (all shells);C;C++;Python,C++;Python
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,7.0,Remote,Nepal,Dart;Objective-C;Swift,Dart;Python;Swift;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,8.0,In-person,Bangladesh,C++;Dart;Java;Objective-C;SQL,HTML/CSS;JavaScript;PHP;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,6.0,In-person,India,C;HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,8.0,Remote,Poland,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;SQL;Swift;TypeScript,HTML/CSS;JavaScript;Rust;SQL;Swift;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,9.0,"Hybrid (some remote, some in-person)",Sri Lanka,Bash/Shell (all shells);C++;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);C++;Dart;Elixir;Erlang;Go;Java;JavaScript;Kotlin;Python;Ruby;Rust;Scala;SQL;Swift;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,2.0,Remote,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,F#;Ruby;Scala;SQL;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",19,7.0,"Hybrid (some remote, some in-person)",Denmark,C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;Visual Basic (.Net),C#;HTML/CSS;JavaScript;Lua;SQL
"Employed, full-time",Some college/university study without earning a degree,5,7.0,"Hybrid (some remote, some in-person)",Australia,Bash/Shell (all shells);C#;Go;PowerShell;Python;SQL,Bash/Shell (all shells);C;C#;C++;Elixir;Erlang;Go;Java;Kotlin;Python;Rust;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,7.0,"Hybrid (some remote, some in-person)",Netherlands,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,8.0,In-person,Poland,Bash/Shell (all shells);Python,Bash/Shell (all shells);Go;Python
"Employed, full-time",Some college/university study without earning a degree,24,7.0,In-person,Austria,HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,JavaScript;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,3.0,"Hybrid (some remote, some in-person)",Finland,Go;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;TypeScript,Go;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,3.0,Remote,United Kingdom of Great Britain and Northern Ireland,C#;Dart;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript
"Student, part-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,9.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);C#;HTML/CSS;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;Kotlin;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,3,6.0,Remote,Kyrgyzstan,HTML/CSS;JavaScript;Python,C#;Java
"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,7.0,Remote,Germany,C;Elixir,C;Elixir
"Employed, full-time","Associate degree (A.A., A.S., etc.)",1,7.0,Remote,Canada,C#;HTML/CSS;PowerShell;SQL,Lua;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,3.0,Remote,Finland,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;Go;HTML/CSS;Python;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,13,8.0,Remote,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);Elixir;Go;HTML/CSS;PHP;Python;Rust;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,6.0,"Hybrid (some remote, some in-person)",Poland,JavaScript;MATLAB;TypeScript,Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,9.0,"Hybrid (some remote, some in-person)",Kyrgyzstan,Bash/Shell (all shells);PowerShell;Python;SQL,Python;R;Scala;SQL
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,9.0,In-person,Italy,Assembly;Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;MicroPython;PHP;Python;SQL,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PHP;Python;SQL;Swift;TypeScript
"Employed, full-time",Some college/university study without earning a degree,6,6.0,"Hybrid (some remote, some in-person)",Netherlands,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,7.0,In-person,India,HTML/CSS;JavaScript;Lua;PHP;Python,Go;Lua;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,7.0,In-person,India,Dart;HTML/CSS;JavaScript;TypeScript,Dart;Go;HTML/CSS;JavaScript;Rust;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,7.0,In-person,Zambia,C#;HTML/CSS;JavaScript;PHP,C#;HTML/CSS
"Student, full-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,8.0,"Hybrid (some remote, some in-person)",Austria,Bash/Shell (all shells);C;C#;C++;Dart;GDScript;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C;C#;C++;Dart;GDScript;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",3,7.0,"Hybrid (some remote, some in-person)",Denmark,Python;Rust;TypeScript,Python;Rust
"Employed, full-time",Some college/university study without earning a degree,Less than 1 year,7.0,"Hybrid (some remote, some in-person)",Germany,C;Java;JavaScript;Python;Rust,Python;Rust;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,16,8.0,Remote,Ireland,C#;SQL;TypeScript,C#;JavaScript;Rust;TypeScript
"Independent contractor, freelancer, or self-employed;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,8.0,"Hybrid (some remote, some in-person)",France,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript
"Employed, full-time",Some college/university study without earning a degree,3,8.0,Remote,France,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Scala;TypeScript,C;Scala;TypeScript;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,8.0,Remote,Kyrgyzstan,Bash/Shell (all shells);Go;Python;SQL,Bash/Shell (all shells);Go;Python;SQL
"Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,8.0,"Hybrid (some remote, some in-person)",Switzerland,Bash/Shell (all shells);C#;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;PowerShell;Python;R;SQL;TypeScript
"Employed, part-time",Some college/university study without earning a degree,6,3.0,"Hybrid (some remote, some in-person)",Poland,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);C;Go;Lisp;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,8.0,"Hybrid (some remote, some in-person)",Israel,Bash/Shell (all shells);Java,Bash/Shell (all shells);Java
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,8.0,Remote,Portugal,HTML/CSS;JavaScript;Python;SQL,C#;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,1.0,Remote,Kyrgyzstan,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript
"Employed, full-time;Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,3.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Lua;PHP;PowerShell;SQL,Bash/Shell (all shells);C;Perl;R
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26,7.0,"Hybrid (some remote, some in-person)",Spain,Bash/Shell (all shells);Java;SQL,Bash/Shell (all shells);Java;Python;SQL;Zephyr
"Employed, full-time",Some college/university study without earning a degree,18,6.0,"Hybrid (some remote, some in-person)",Israel,Bash/Shell (all shells);C;C++;Go;JavaScript;PHP,Bash/Shell (all shells);Go;PHP
"Employed, full-time",Some college/university study without earning a degree,16,8.0,Remote,Georgia,Elixir;Go;JavaScript,Elixir
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,9.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);Groovy;Haskell;HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell (all shells);Groovy;Haskell;Rust;Scala;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,6.0,"Hybrid (some remote, some in-person)",Poland,C#;Python;SQL;TypeScript,Assembly;C#;F#;Haskell;PowerShell;Rust;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,9.0,Remote,United Republic of Tanzania,HTML/CSS;Java;JavaScript;Python;Ruby;TypeScript,HTML/CSS;JavaScript;Python;Ruby;TypeScript
"Employed, full-time",Some college/university study without earning a degree,23,8.0,"Hybrid (some remote, some in-person)",Greece,C#;Java,Go;Ruby;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,7.0,"Hybrid (some remote, some in-person)",Netherlands,Bash/Shell (all shells);C#;GDScript;Python;SQL,C#;GDScript;Go;MicroPython;Python
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,4.0,In-person,Romania,C#;Delphi;HTML/CSS;Java;JavaScript;Python;SQL,C#;HTML/CSS;Java;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,5.0,In-person,Zimbabwe,HTML/CSS;PHP;SQL,Bash/Shell (all shells);C#;Java
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,7.0,"Hybrid (some remote, some in-person)",Portugal,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,10.0,Remote,Poland,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;Lua;PowerShell;Rust;SQL;TypeScript,Bash/Shell (all shells);C#;PowerShell;Rust;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,8.0,"Hybrid (some remote, some in-person)",France,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;Ruby;Rust;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,3.0,In-person,Pakistan,Java;SQL,Bash/Shell (all shells);Java;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,7.0,In-person,India,HTML/CSS;JavaScript;SQL,JavaScript;Python;Ruby;SQL;TypeScript
"Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,5.0,In-person,Uzbekistan,Python;SQL,C;Go;MicroPython;Python;Rust;SQL
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,8.0,In-person,Finland,Bash/Shell (all shells);HTML/CSS;Java;JavaScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,9.0,Remote,India,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,8.0,Remote,Portugal,Kotlin,Kotlin
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,3.0,"Hybrid (some remote, some in-person)",United States of America,HTML/CSS;Java;JavaScript;PowerShell;TypeScript,HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript
"Student, full-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,2.0,"Hybrid (some remote, some in-person)",Romania,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Python;Rust;SQL,Assembly;Bash/Shell (all shells);C;Elixir;Go;Python;Rust;SQL;Zig
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,8.0,"Hybrid (some remote, some in-person)",Poland,C++;Dart;JavaScript;PowerShell;Python;Ruby,Dart;Go;JavaScript;PowerShell;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,2.0,In-person,United Arab Emirates,C#;HTML/CSS;Java;JavaScript;SQL,C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,8.0,"Hybrid (some remote, some in-person)",Kenya,C#;Python,C#;JavaScript;Python;R
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,8.0,Remote,Canada,Bash/Shell (all shells);JavaScript;Python;TypeScript,Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,5.0,"Hybrid (some remote, some in-person)",Norway,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL,C#;PowerShell;SQL;TypeScript
"Employed, full-time;Student, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,7.0,"Hybrid (some remote, some in-person)",Romania,Bash/Shell (all shells);C++;Haskell;Java;Lisp;Python,Bash/Shell (all shells);C++;Go;Haskell;Julia;Lua;OCaml;Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,5.0,Remote,Austria,HTML/CSS;JavaScript;Perl;SQL,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,15,8.0,Remote,France,HTML/CSS;PHP;SQL;TypeScript;Visual Basic (.Net),Go;HTML/CSS;PHP;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,6.0,"Hybrid (some remote, some in-person)",Bangladesh,Go;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Python;R;TypeScript,Go;HTML/CSS;JavaScript;Python;TypeScript
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,7.0,Remote,Poland,Bash/Shell (all shells);C++;Python,Nim;Python;Rust;Zig
"Employed, part-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",5,7.0,In-person,Switzerland,Bash/Shell (all shells);Perl;Python;SQL;VBA,C#;Python;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,10,2.0,Remote,United States of America,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Lua;PHP;PowerShell;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,3.0,"Hybrid (some remote, some in-person)",Bulgaria,C#;HTML/CSS;JavaScript;Objective-C;PowerShell;Solidity;SQL;TypeScript,Go;HTML/CSS;JavaScript;TypeScript
"Employed, full-time",Some college/university study without earning a degree,25,10.0,"Hybrid (some remote, some in-person)",Austria,C#;HTML/CSS;JavaScript;Lua;SQL;VBA;Visual Basic (.Net),C#;HTML/CSS;JavaScript;MicroPython;Python;SQL;VBA;Visual Basic (.Net)
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,8.0,Remote,Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8,7.0,In-person,Germany,Bash/Shell (all shells);R;SQL;VBA,Bash/Shell (all shells);R;SQL
"Employed, part-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12,3.0,"Hybrid (some remote, some in-person)",Germany,C#;PowerShell;Python,C#;Python;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,9.0,"Hybrid (some remote, some in-person)",Poland,Bash/Shell (all shells);PowerShell;Python;SQL,C++;Go
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,7.0,Remote,Brazil,Bash/Shell (all shells);C;C++;Dart;Go;HTML/CSS;Rust;SQL,Bash/Shell (all shells);Dart;Go;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,8.0,Remote,Ukraine,JavaScript;Ruby;SQL;TypeScript,JavaScript;Ruby;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,7.0,Remote,India,C;C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,C;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python;Ruby;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,9.0,In-person,Norway,C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,C#;Rust;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,2.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,JavaScript;Kotlin;SQL;TypeScript,Clojure;Kotlin
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,6.0,"Hybrid (some remote, some in-person)",Netherlands,Python;R,C++;JavaScript;Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,8.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Java;Python;Scala;SQL,JavaScript;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,2,7.0,"Hybrid (some remote, some in-person)",Poland,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);Go;Python
"Student, full-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,9.0,"Hybrid (some remote, some in-person)",Bulgaria,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript
