Employment,EdLevel,YearsCodePro,ExperienceRange,JobSat,JobSatPoints_1,RemoteWork,Country,LanguageHaveWorkedWith
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,5–10,8.0,20.0,"Hybrid (some remote, some in-person)",United States of America,C#;Python;Scala;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5–10,7.0,15.0,Remote,Canada,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Python;Ruby;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,20+,7.0,40.0,"Hybrid (some remote, some in-person)",United States of America,Go;HTML/CSS;JavaScript;Python;Rust;SQL;Swift;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,20+,7.0,25.0,"Hybrid (some remote, some in-person)",Switzerland,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,5–10,7.0,0.0,"Hybrid (some remote, some in-person)",Netherlands,Java;Kotlin;Swift;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,5–10,9.0,10.0,Remote,Mexico,HTML/CSS;JavaScript;Python;SQL;TypeScript
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,0–5,7.0,0.0,"Hybrid (some remote, some in-person)",Thailand,HTML/CSS;JavaScript;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,0.0,0.0,"Hybrid (some remote, some in-person)",United States of America,HTML/CSS;Java;JavaScript;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,20+,9.0,90.0,"Hybrid (some remote, some in-person)",Poland,Scala
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,10–20,2.0,40.0,Remote,Belgium,Assembly;Bash/Shell (all shells);C;Lua;Perl;Python
"Employed, full-time;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",16.0,10–20,10.0,50.0,Remote,Germany,C#;HTML/CSS;JavaScript;R;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,10–20,9.0,5.0,Remote,Ukraine,Java;JavaScript;Kotlin;Python;Scala;TypeScript
"Employed, full-time;Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,0–5,5.0,0.0,"Hybrid (some remote, some in-person)",France,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,0–5,0.0,0.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);Go;Python;SQL
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,10–20,7.0,0.0,Remote,Canada,HTML/CSS;JavaScript;Python;Swift;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,5–10,0.0,0.0,Remote,France,Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,8.0,15.0,Remote,United States of America,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,5–10,4.0,0.0,"Hybrid (some remote, some in-person)",Germany,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10–20,10.0,40.0,"Hybrid (some remote, some in-person)",Romania,Kotlin
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,0–5,8.0,0.0,Remote,Ukraine,HTML/CSS;JavaScript;PHP
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,20+,5.0,0.0,"Hybrid (some remote, some in-person)",United States of America,Ruby
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,10–20,7.0,50.0,Remote,Ukraine,Bash/Shell (all shells);C#;JavaScript;PowerShell;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,0–5,10.0,25.0,Remote,United States of America,HTML/CSS;JavaScript;Ruby;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,4.0,60.0,"Hybrid (some remote, some in-person)",Bangladesh,C#;HTML/CSS;JavaScript;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,3.0,50.0,In-person,Pakistan,TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,7.0,5–10,4.0,5.0,Remote,Portugal,C#;C++;JavaScript;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,9.0,50.0,"Hybrid (some remote, some in-person)",Australia,JavaScript;Python;SQL;TypeScript;VBA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,4.0,0.0,Remote,Germany,Bash/Shell (all shells);Kotlin;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,20+,4.0,10.0,In-person,United States of America,Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,10–20,9.0,25.0,Remote,South Africa,Rust;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,7.0,10.0,"Hybrid (some remote, some in-person)",Netherlands,Groovy;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,20+,7.0,20.0,Remote,United States of America,TypeScript
"Student, full-time;Employed, part-time",Some college/university study without earning a degree,3.0,0–5,4.0,0.0,"Hybrid (some remote, some in-person)",Poland,Assembly;C;C++;HTML/CSS;Java;JavaScript;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5–10,2.0,30.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Go;Groovy;Java;JavaScript;Python
"Employed, full-time",Some college/university study without earning a degree,20.0,10–20,6.0,7.0,Remote,Germany,C#;HTML/CSS;JavaScript;PowerShell;SQL
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8.0,5–10,8.0,15.0,"Hybrid (some remote, some in-person)",Germany,Kotlin;Python
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,10–20,6.0,,Remote,India,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Rust;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,5–10,3.0,,Remote,Russian Federation,Groovy;Java;JavaScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10–20,9.0,15.0,Remote,United States of America,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,20+,8.0,25.0,"Hybrid (some remote, some in-person)",Spain,Java;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,10–20,7.0,10.0,Remote,United States of America,Elixir;HTML/CSS;JavaScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5–10,8.0,50.0,Remote,Ukraine,Bash/Shell (all shells);C#
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,7.0,30.0,Remote,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;Java;JavaScript;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,7.0,10.0,Remote,Chile,C#;C++
"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,3.0,0–5,10.0,20.0,In-person,Republic of North Macedonia,JavaScript;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,1.0,0.0,"Hybrid (some remote, some in-person)",Germany,Assembly;Bash/Shell (all shells);Python
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.0,0–5,2.0,10.0,"Hybrid (some remote, some in-person)",Spain,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Associate degree (A.A., A.S., etc.)",3.0,0–5,4.0,0.0,In-person,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,20+,5.0,0.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);C;HTML/CSS;Java;Lisp;Perl;Python;VBA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,5–10,8.0,0.0,"Hybrid (some remote, some in-person)",Switzerland,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Scala;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,20+,8.0,50.0,"Hybrid (some remote, some in-person)",United States of America,C#;JavaScript;Python;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18.0,10–20,7.0,60.0,Remote,Italy,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0,5–10,7.0,50.0,"Hybrid (some remote, some in-person)",Israel,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,0–5,7.0,0.0,Remote,Poland,C++;JavaScript;Python
"Employed, full-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5–10,0.0,0.0,"Hybrid (some remote, some in-person)",Slovenia,Bash/Shell (all shells);HTML/CSS;JavaScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,5.0,20.0,Remote,United States of America,Apex;Bash/Shell (all shells);C#;Go;JavaScript;PHP;PowerShell;Rust;SQL;TypeScript
"Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,10–20,6.0,0.0,Remote,Netherlands,Java;Kotlin
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5.0,0–5,9.0,18.0,"Hybrid (some remote, some in-person)",Sweden,Bash/Shell (all shells);Go;Lua;PHP;Python;SQL
"Employed, full-time",Some college/university study without earning a degree,9.0,5–10,5.0,0.0,Remote,Costa Rica,HTML/CSS;JavaScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",38.0,20+,2.0,0.0,Remote,United Kingdom of Great Britain and Northern Ireland,Cobol;SQL;VBA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5–10,8.0,20.0,"Hybrid (some remote, some in-person)",Portugal,HTML/CSS;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,10–20,4.0,30.0,In-person,United States of America,Java;JavaScript;Python;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,20+,6.0,15.0,"Hybrid (some remote, some in-person)",Canada,Bash/Shell (all shells);Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,8.0,0.0,In-person,Taiwan,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,5–10,9.0,8.0,In-person,France,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Julia;Python;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,5.0,0–5,7.0,70.0,Remote,Turkey,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,8.0,80.0,Remote,United States of America,Bash/Shell (all shells);Java;JavaScript;Kotlin
"Employed, full-time",Some college/university study without earning a degree,23.0,20+,1.0,0.0,Remote,Canada,Erlang
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,20+,5.0,0.0,"Hybrid (some remote, some in-person)",Spain,C#;C++;Java
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,20+,8.0,10.0,Remote,Canada,C#;HTML/CSS;JavaScript;SQL
"Employed, full-time",Primary/elementary school,26.0,20+,8.0,60.0,Remote,New Zealand,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,0–5,6.0,80.0,In-person,Russian Federation,Bash/Shell (all shells);PowerShell;Python;SQL;VBA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,10–20,6.0,5.0,Remote,Brazil,Bash/Shell (all shells);MATLAB;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,10–20,8.0,0.0,Remote,Canada,HTML/CSS;JavaScript;PHP
"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,9.0,0.0,"Hybrid (some remote, some in-person)",Germany,Java;Python;SQL
"Employed, full-time",Some college/university study without earning a degree,32.0,20+,6.0,10.0,"Hybrid (some remote, some in-person)",Spain,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,10–20,8.0,10.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript
"Employed, full-time",Some college/university study without earning a degree,6.0,5–10,6.0,15.0,"Hybrid (some remote, some in-person)",Italy,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,0–5,8.0,1.0,In-person,Mexico,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,0–5,6.0,10.0,Remote,United States of America,C#;Dart;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,3.0,0–5,5.0,0.0,In-person,Germany,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;VBA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,3.0,0–5,6.0,0.0,Remote,Spain,C;C#;Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,7.0,2.0,Remote,Brazil,Java;JavaScript;Kotlin;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,10–20,7.0,0.0,In-person,Taiwan,C#;HTML/CSS;JavaScript;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5–10,8.0,0.0,"Hybrid (some remote, some in-person)",Germany,C;C++;Java;R
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,10–20,5.0,20.0,Remote,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);JavaScript;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,10–20,6.0,85.0,In-person,Switzerland,Assembly;Bash/Shell (all shells);C;C#;C++;Cobol;Delphi;Fortran;HTML/CSS;Java;JavaScript;MATLAB;Objective-C;PowerShell;Python;SQL;Swift;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,9.0,0.0,"Hybrid (some remote, some in-person)",United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,20+,10.0,0.0,"Hybrid (some remote, some in-person)",United States of America,PowerShell;SQL
"Employed, full-time",Some college/university study without earning a degree,20.0,10–20,2.0,10.0,"Hybrid (some remote, some in-person)",United States of America,C#;PowerShell;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,10–20,6.0,30.0,Remote,United States of America,Bash/Shell (all shells);Perl;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,10–20,9.0,10.0,Remote,Belarus,C#;JavaScript;PHP;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5–10,8.0,22.0,"Hybrid (some remote, some in-person)",France,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,5–10,4.0,10.0,Remote,Ukraine,C#;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,0–5,7.0,75.0,Remote,United States of America,Assembly;Bash/Shell (all shells);C;C#;C++;JavaScript;PHP;PowerShell;Python;SQL;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,20+,9.0,50.0,"Hybrid (some remote, some in-person)",United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,6.0,20.0,"Hybrid (some remote, some in-person)",Israel,Bash/Shell (all shells);MATLAB;Python;SQL
"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,7.0,15.0,Remote,Brazil,Bash/Shell (all shells);Groovy;Python
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,10–20,8.0,0.0,Remote,United States of America,HTML/CSS;Python;SQL
"Employed, full-time",Some college/university study without earning a degree,14.0,10–20,1.0,25.0,"Hybrid (some remote, some in-person)",United States of America,Kotlin;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,20+,4.0,0.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);Groovy;Haskell;Java;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,7.0,0.0,In-person,United States of America,Bash/Shell (all shells);Kotlin;Objective-C;Swift
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9.0,5–10,8.0,30.0,"Hybrid (some remote, some in-person)",Germany,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,10–20,8.0,20.0,"Hybrid (some remote, some in-person)",Poland,C#
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",34.0,20+,8.0,0.0,Remote,United States of America,C++;Java;PowerShell
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,10–20,7.0,20.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,12.0,10–20,9.0,40.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;Ruby;Swift;TypeScript
"Employed, full-time",Some college/university study without earning a degree,3.0,0–5,6.0,10.0,Remote,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,20+,7.0,0.0,Remote,Serbia,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,15.0,10–20,4.0,100.0,Remote,"Venezuela, Bolivarian Republic of...",C#;Elixir;Erlang;HTML/CSS;JavaScript;PHP;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,7.0,40.0,Remote,Mozambique,JavaScript;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,20+,9.0,20.0,Remote,United States of America,C#;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,8.0,6.0,"Hybrid (some remote, some in-person)",United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5–10,5.0,30.0,Remote,United States of America,Python;SQL
"Employed, full-time","Associate degree (A.A., A.S., etc.)",28.0,20+,8.0,10.0,Remote,Canada,Elixir;Erlang
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,8.0,8.0,"Hybrid (some remote, some in-person)",India,Java;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,9.0,15.0,Remote,India,Bash/Shell (all shells);Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,20+,7.0,40.0,Remote,United States of America,Swift
"Student, full-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2.0,0–5,7.0,0.0,In-person,Czech Republic,Assembly;Bash/Shell (all shells);C;C++;Elixir;Go;Haskell;HTML/CSS;JavaScript;Kotlin;Python;SQL
"Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",21.0,20+,7.0,0.0,Remote,Canada,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,10.0,5–10,6.0,20.0,"Hybrid (some remote, some in-person)",Germany,Go;HTML/CSS;JavaScript;MicroPython;PHP;Python;Rust;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,7.0,0.0,"Hybrid (some remote, some in-person)",Netherlands,HTML/CSS;Java;JavaScript;Kotlin
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,5.0,5.0,"Hybrid (some remote, some in-person)",United States of America,C#;HTML/CSS;JavaScript;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,8.0,15.0,In-person,United States of America,Assembly;Bash/Shell (all shells);C;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,8.0,0.0,Remote,Poland,Assembly;C;C++;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,10–20,7.0,10.0,"Hybrid (some remote, some in-person)",Belgium,HTML/CSS;Java;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5–10,4.0,10.0,Remote,Colombia,JavaScript;Python;TypeScript
"Employed, full-time",Primary/elementary school,14.0,10–20,7.0,0.0,Remote,Sweden,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;Swift;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,10–20,8.0,0.0,"Hybrid (some remote, some in-person)",Netherlands,C#;HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,20+,2.0,10.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,C++
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,8.0,20.0,"Hybrid (some remote, some in-person)",United States of America,Python;SQL
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8.0,5–10,8.0,15.0,Remote,United States of America,Assembly;Bash/Shell (all shells);C;C#;C++;Python;R
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5–10,8.0,25.0,Remote,Ukraine,C#;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,10–20,8.0,0.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);Python
"Employed, full-time",Some college/university study without earning a degree,19.0,10–20,8.0,50.0,Remote,Russian Federation,PHP;Python;SQL
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12.0,10–20,5.0,0.0,In-person,Italy,Bash/Shell (all shells);Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,8.0,0.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Lua;MATLAB;PowerShell;Python;R;SQL;VBA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,0–5,10.0,0.0,"Hybrid (some remote, some in-person)",United States of America,Assembly;Bash/Shell (all shells);C;GDScript;Go;Haskell;HTML/CSS;Java;JavaScript;Lisp;Python;Rust;SQL
"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,10–20,6.0,15.0,Remote,Poland,C#;HTML/CSS;PowerShell;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,0–5,8.0,10.0,Remote,Poland,HTML/CSS;JavaScript;Python;SQL;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,0–5,8.0,30.0,Remote,United States of America,Bash/Shell (all shells);C#;JavaScript;PowerShell;Python;SQL
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",22.0,20+,8.0,0.0,In-person,Switzerland,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,4.0,0.0,In-person,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,20+,7.0,50.0,"Hybrid (some remote, some in-person)",Norway,C;Dart;Delphi;Java;Kotlin;Objective-C;PHP;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5–10,8.0,10.0,Remote,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript
